Date,Time,aCaT,aCeT,eCaT,eCeT
18/01/2011,9:00:00,59,71,73,70
18/01/2011,9:15:00,77,73,69,84
18/01/2011,9:30:00,73,62,78,80
18/01/2011,9:45:00,66,73,77,78
18/01/2011,10:00:00,62,62,63,79
18/01/2011,10:15:00,74,64,65,70
18/01/2011,10:30:00,68,72,71,77
18/01/2011,10:45:00,72,76,61,67
18/01/2011,11:00:00,72,65,76,68
18/01/2011,11:15:00,77,68,71,75
18/01/2011,11:30:00,71,71,72,73
18/01/2011,11:45:00,62,71,65,70
18/01/2011,12:00:00,79,78,63,82
18/01/2011,12:15:00,61,78,67,83
18/01/2011,12:30:00,66,67,64,66
18/01/2011,12:45:00,58,56,83,82
18/01/2011,13:00:00,66,69,61,66
18/01/2011,13:15:00,74,74,63,78
18/01/2011,13:30:00,64,79,66,79
18/01/2011,13:45:00,66,76,79,70
18/01/2011,14:00:00,68,70,63,68
18/01/2011,14:15:00,77,65,83,81
18/01/2011,14:30:00,79,56,70,58
18/01/2011,14:45:00,79,64,66,75
18/01/2011,15:00:00,70,59,79,66
18/01/2011,15:15:00,74,59,82,68
18/01/2011,15:30:00,60,70,67,61
18/01/2011,15:45:00,64,64,81,74
18/01/2011,16:00:00,65,76,64,66
18/01/2011,16:15:00,62,68,72,67
18/01/2011,16:30:00,65,73,80,59
18/01/2011,16:45:00,72,81,70,67
18/01/2011,17:00:00,64,69,80,76
18/01/2011,17:15:00,64,59,83,59
18/01/2011,17:30:00,70,63,71,82
18/01/2011,17:45:00,75,73,71,57
18/01/2011,18:00:00,77,77,60,78
18/01/2011,18:15:00,59,62,75,84
18/01/2011,18:30:00,73,65,74,71
18/01/2011,18:45:00,75,74,62,76
18/01/2011,19:00:00,62,69,67,61
18/01/2011,19:15:00,76,62,65,82
18/01/2011,19:30:00,59,68,81,80
18/01/2011,19:45:00,75,81,78,80
18/01/2011,20:00:00,97,91,91,94
18/01/2011,20:15:00,92,95,93,95
18/01/2011,20:30:00,91,94,98,99
18/01/2011,20:45:00,100,98,100,92
18/01/2011,21:00:00,100,100,100,100
18/01/2011,21:15:00,100,100,100,100
18/01/2011,21:30:00,100,100,100,100
18/01/2011,21:45:00,100,100,100,100
18/01/2011,22:00:00,100,100,100,100
18/01/2011,22:15:00,100,100,100,100
18/01/2011,22:30:00,100,100,100,100
18/01/2011,22:45:00,100,100,100,100
18/01/2011,23:00:00,100,100,100,100
18/01/2011,23:15:00,100,100,100,100
18/01/2011,23:30:00,100,100,100,100
18/01/2011,23:45:00,100,100,100,100
19/01/2011,0:00:00,100,100,100,100
19/01/2011,0:15:00,100,100,100,100
19/01/2011,0:30:00,100,100,100,100
19/01/2011,0:45:00,100,100,100,100
19/01/2011,1:00:00,100,100,100,100
19/01/2011,1:15:00,100,100,100,100
19/01/2011,1:30:00,100,100,100,100
19/01/2011,1:45:00,100,100,100,100
19/01/2011,2:00:00,100,100,100,100
19/01/2011,2:15:00,100,100,100,100
19/01/2011,2:30:00,100,100,100,100
19/01/2011,2:45:00,100,100,100,100
19/01/2011,3:00:00,100,100,100,100
19/01/2011,3:15:00,100,100,100,100
19/01/2011,3:30:00,100,100,100,100
19/01/2011,3:45:00,100,100,100,100
19/01/2011,4:00:00,100,100,100,100
19/01/2011,4:15:00,100,100,100,100
19/01/2011,4:30:00,100,100,100,100
19/01/2011,4:45:00,100,100,100,100
19/01/2011,5:00:00,100,100,100,100
19/01/2011,5:15:00,100,100,100,92
19/01/2011,5:30:00,98,95,98,91
19/01/2011,5:45:00,96,92,91,92
19/01/2011,6:00:00,66,58,83,66
19/01/2011,6:15:00,71,68,76,65
19/01/2011,6:30:00,76,78,72,72
19/01/2011,6:45:00,75,62,66,72
19/01/2011,7:00:00,60,74,71,71
19/01/2011,7:15:00,64,71,66,76
19/01/2011,7:30:00,62,61,71,70
19/01/2011,7:45:00,77,68,67,60
19/01/2011,8:00:00,73,64,73,78
19/01/2011,8:15:00,71,59,66,68
19/01/2011,8:30:00,64,70,68,70
19/01/2011,8:45:00,79,79,79,64
19/01/2011,9:00:00,70,77,78,76
19/01/2011,9:15:00,69,77,77,66
19/01/2011,9:30:00,62,56,73,65
19/01/2011,9:45:00,75,76,81,63
19/01/2011,10:00:00,78,66,66,74
19/01/2011,10:15:00,63,61,77,82
19/01/2011,10:30:00,76,76,75,69
19/01/2011,10:45:00,62,60,81,69
19/01/2011,11:00:00,72,79,70,68
19/01/2011,11:15:00,73,74,83,84
19/01/2011,11:30:00,59,68,80,64
19/01/2011,11:45:00,69,70,81,77
19/01/2011,12:00:00,62,81,73,60
19/01/2011,12:15:00,79,76,82,66
19/01/2011,12:30:00,68,69,60,73
19/01/2011,12:45:00,58,77,71,80
19/01/2011,13:00:00,65,79,82,78
19/01/2011,13:15:00,61,81,67,63
19/01/2011,13:30:00,63,78,72,80
19/01/2011,13:45:00,63,63,82,74
19/01/2011,14:00:00,63,71,63,59
19/01/2011,14:15:00,79,72,73,84
19/01/2011,14:30:00,79,76,71,67
19/01/2011,14:45:00,74,77,66,67
19/01/2011,15:00:00,64,78,71,60
19/01/2011,15:15:00,63,73,80,79
19/01/2011,15:30:00,76,67,69,75
19/01/2011,15:45:00,61,63,75,68
19/01/2011,16:00:00,73,71,71,58
19/01/2011,16:15:00,59,76,72,67
19/01/2011,16:30:00,74,68,71,68
19/01/2011,16:45:00,63,59,74,84
19/01/2011,17:00:00,67,68,79,82
19/01/2011,17:15:00,70,66,83,83
19/01/2011,17:30:00,64,68,72,74
19/01/2011,17:45:00,69,61,67,74
19/01/2011,18:00:00,59,62,73,68
19/01/2011,18:15:00,70,57,82,73
19/01/2011,18:30:00,77,59,66,82
19/01/2011,18:45:00,78,77,72,73
19/01/2011,19:00:00,79,75,62,72
19/01/2011,19:15:00,78,77,74,58
19/01/2011,19:30:00,63,72,63,69
19/01/2011,19:45:00,60,72,67,84
19/01/2011,20:00:00,93,92,92,96
19/01/2011,20:15:00,96,95,91,92
19/01/2011,20:30:00,96,94,92,93
19/01/2011,20:45:00,100,92,100,95
19/01/2011,21:00:00,100,100,100,100
19/01/2011,21:15:00,100,100,100,100
19/01/2011,21:30:00,100,100,100,100
19/01/2011,21:45:00,100,100,100,100
19/01/2011,22:00:00,100,100,100,100
19/01/2011,22:15:00,100,100,100,100
19/01/2011,22:30:00,100,100,100,100
19/01/2011,22:45:00,100,100,100,100
19/01/2011,23:00:00,100,100,100,100
19/01/2011,23:15:00,100,100,100,100
19/01/2011,23:30:00,100,100,100,100
19/01/2011,23:45:00,100,100,100,100
20/01/2011,0:00:00,100,100,100,100
20/01/2011,0:15:00,100,100,100,100
20/01/2011,0:30:00,100,100,100,100
20/01/2011,0:45:00,100,100,100,100
20/01/2011,1:00:00,100,100,100,100
20/01/2011,1:15:00,100,100,100,100
20/01/2011,1:30:00,100,100,100,100
20/01/2011,1:45:00,100,100,100,100
20/01/2011,2:00:00,100,100,100,100
20/01/2011,2:15:00,100,100,100,100
20/01/2011,2:30:00,100,100,100,100
20/01/2011,2:45:00,100,100,100,100
20/01/2011,3:00:00,100,100,100,100
20/01/2011,3:15:00,100,100,100,100
20/01/2011,3:30:00,100,100,100,100
20/01/2011,3:45:00,100,100,100,100
20/01/2011,4:00:00,100,100,100,100
20/01/2011,4:15:00,100,100,100,100
20/01/2011,4:30:00,100,100,100,100
20/01/2011,4:45:00,100,100,100,100
20/01/2011,5:00:00,100,100,100,100
20/01/2011,5:15:00,100,100,100,95
20/01/2011,5:30:00,99,95,95,97
20/01/2011,5:45:00,95,99,91,99
20/01/2011,6:00:00,59,77,63,73
20/01/2011,6:15:00,60,68,72,83
20/01/2011,6:30:00,69,59,60,77
20/01/2011,6:45:00,62,58,63,69
20/01/2011,7:00:00,66,67,69,64
20/01/2011,7:15:00,62,75,67,61
20/01/2011,7:30:00,66,74,64,83
20/01/2011,7:45:00,76,56,82,79
20/01/2011,8:00:00,79,70,62,57
20/01/2011,8:15:00,75,81,67,74
20/01/2011,8:30:00,70,78,82,78
20/01/2011,8:45:00,70,60,72,63
20/01/2011,9:00:00,60,81,63,57
20/01/2011,9:15:00,79,71,76,79
20/01/2011,9:30:00,73,62,72,77
20/01/2011,9:45:00,72,65,78,65
20/01/2011,10:00:00,78,75,71,79
20/01/2011,10:15:00,76,73,63,65
20/01/2011,10:30:00,72,56,80,57
20/01/2011,10:45:00,78,79,73,73
20/01/2011,11:00:00,63,57,81,64
20/01/2011,11:15:00,58,66,64,71
20/01/2011,11:30:00,65,65,76,77
20/01/2011,11:45:00,58,56,75,71
20/01/2011,12:00:00,70,74,71,73
20/01/2011,12:15:00,60,66,63,61
20/01/2011,12:30:00,70,73,69,83
20/01/2011,12:45:00,70,56,79,79
20/01/2011,13:00:00,73,68,70,71
20/01/2011,13:15:00,67,58,73,77
20/01/2011,13:30:00,78,68,80,71
20/01/2011,13:45:00,76,69,70,73
20/01/2011,14:00:00,69,60,60,58
20/01/2011,14:15:00,68,58,81,81
20/01/2011,14:30:00,59,73,74,69
20/01/2011,14:45:00,72,75,69,80
20/01/2011,15:00:00,72,61,82,74
20/01/2011,15:15:00,62,59,62,62
20/01/2011,15:30:00,74,63,69,58
20/01/2011,15:45:00,75,79,75,80
20/01/2011,16:00:00,68,57,68,78
20/01/2011,16:15:00,78,56,68,79
20/01/2011,16:30:00,60,76,77,79
20/01/2011,16:45:00,62,63,72,81
20/01/2011,17:00:00,77,57,62,61
20/01/2011,17:15:00,70,72,73,82
20/01/2011,17:30:00,79,73,71,59
20/01/2011,17:45:00,73,58,74,79
20/01/2011,18:00:00,67,61,69,83
20/01/2011,18:15:00,64,72,81,57
20/01/2011,18:30:00,75,77,76,62
20/01/2011,18:45:00,76,59,82,67
20/01/2011,19:00:00,63,75,74,79
20/01/2011,19:15:00,78,57,68,69
20/01/2011,19:30:00,63,69,71,63
20/01/2011,19:45:00,63,57,66,61
20/01/2011,20:00:00,99,99,94,92
20/01/2011,20:15:00,92,93,92,92
20/01/2011,20:30:00,96,94,96,97
20/01/2011,20:45:00,100,99,100,91
20/01/2011,21:00:00,100,100,100,100
20/01/2011,21:15:00,100,100,100,100
20/01/2011,21:30:00,100,100,100,100
20/01/2011,21:45:00,100,100,100,100
20/01/2011,22:00:00,100,100,100,100
20/01/2011,22:15:00,100,100,100,100
20/01/2011,22:30:00,100,100,100,100
20/01/2011,22:45:00,100,100,100,100
20/01/2011,23:00:00,100,100,100,100
20/01/2011,23:15:00,100,100,100,100
20/01/2011,23:30:00,100,100,100,100
20/01/2011,23:45:00,100,100,100,100
21/01/2011,0:00:00,100,100,100,100
21/01/2011,0:15:00,100,100,100,100
21/01/2011,0:30:00,100,100,100,100
21/01/2011,0:45:00,100,100,100,100
21/01/2011,1:00:00,100,100,100,100
21/01/2011,1:15:00,100,100,100,100
21/01/2011,1:30:00,100,100,100,100
21/01/2011,1:45:00,100,100,100,100
21/01/2011,2:00:00,100,100,100,100
21/01/2011,2:15:00,100,100,100,100
21/01/2011,2:30:00,100,100,100,100
21/01/2011,2:45:00,100,100,100,100
21/01/2011,3:00:00,100,100,100,100
21/01/2011,3:15:00,100,100,100,100
21/01/2011,3:30:00,100,100,100,100
21/01/2011,3:45:00,100,100,100,100
21/01/2011,4:00:00,100,100,100,100
21/01/2011,4:15:00,100,100,100,100
21/01/2011,4:30:00,100,100,100,100
21/01/2011,4:45:00,100,100,100,100
21/01/2011,5:00:00,100,100,100,100
21/01/2011,5:15:00,100,100,100,96
21/01/2011,5:30:00,97,96,93,96
21/01/2011,5:45:00,93,91,93,99
21/01/2011,6:00:00,73,66,63,61
21/01/2011,6:15:00,67,59,79,76
21/01/2011,6:30:00,58,64,65,59
21/01/2011,6:45:00,76,61,78,75
21/01/2011,7:00:00,64,79,62,78
21/01/2011,7:15:00,71,62,83,73
21/01/2011,7:30:00,71,65,65,70
21/01/2011,7:45:00,69,77,65,59
21/01/2011,8:00:00,74,63,75,60
21/01/2011,8:15:00,74,64,63,57
21/01/2011,8:30:00,68,59,65,74
21/01/2011,8:45:00,69,56,76,59
21/01/2011,9:00:00,73,66,74,75
21/01/2011,9:15:00,77,72,67,74
21/01/2011,9:30:00,58,78,69,76
21/01/2011,9:45:00,74,67,72,84
21/01/2011,10:00:00,78,79,75,67
21/01/2011,10:15:00,59,74,73,66
21/01/2011,10:30:00,78,81,82,82
21/01/2011,10:45:00,74,64,62,79
21/01/2011,11:00:00,75,65,66,83
21/01/2011,11:15:00,77,77,64,71
21/01/2011,11:30:00,69,62,80,79
21/01/2011,11:45:00,79,61,77,73
21/01/2011,12:00:00,59,65,79,61
21/01/2011,12:15:00,75,79,61,57
21/01/2011,12:30:00,67,72,70,68
21/01/2011,12:45:00,76,66,81,65
21/01/2011,13:00:00,69,80,82,67
21/01/2011,13:15:00,74,67,71,71
21/01/2011,13:30:00,77,66,68,66
21/01/2011,13:45:00,58,58,61,63
21/01/2011,14:00:00,65,60,65,76
21/01/2011,14:15:00,66,67,83,67
21/01/2011,14:30:00,69,72,70,82
21/01/2011,14:45:00,58,73,80,81
21/01/2011,15:00:00,68,66,60,66
21/01/2011,15:15:00,74,66,66,64
21/01/2011,15:30:00,67,75,80,84
21/01/2011,15:45:00,62,58,66,60
21/01/2011,16:00:00,70,65,60,75
21/01/2011,16:15:00,61,65,76,84
21/01/2011,16:30:00,62,62,64,60
21/01/2011,16:45:00,78,68,62,65
21/01/2011,17:00:00,70,58,72,64
21/01/2011,17:15:00,75,68,68,61
21/01/2011,17:30:00,79,77,60,80
21/01/2011,17:45:00,60,61,67,71
21/01/2011,18:00:00,62,57,72,64
21/01/2011,18:15:00,60,72,74,71
21/01/2011,18:30:00,75,76,65,76
21/01/2011,18:45:00,74,77,69,65
21/01/2011,19:00:00,79,65,79,74
21/01/2011,19:15:00,62,59,62,64
21/01/2011,19:30:00,77,78,63,73
21/01/2011,19:45:00,63,70,79,82
21/01/2011,20:00:00,97,96,91,94
21/01/2011,20:15:00,99,96,92,92
21/01/2011,20:30:00,95,92,93,91
21/01/2011,20:45:00,100,97,100,99
21/01/2011,21:00:00,100,100,100,100
21/01/2011,21:15:00,100,100,100,100
21/01/2011,21:30:00,100,100,100,100
21/01/2011,21:45:00,100,100,100,100
21/01/2011,22:00:00,100,100,100,100
21/01/2011,22:15:00,100,100,100,100
21/01/2011,22:30:00,100,100,100,100
21/01/2011,22:45:00,100,100,100,100
21/01/2011,23:00:00,100,100,100,100
21/01/2011,23:15:00,100,100,100,100
21/01/2011,23:30:00,100,100,100,100
21/01/2011,23:45:00,100,100,100,100
22/01/2011,0:00:00,100,100,100,100
22/01/2011,0:15:00,100,100,100,100
22/01/2011,0:30:00,100,100,100,100
22/01/2011,0:45:00,100,100,100,100
22/01/2011,1:00:00,100,100,100,100
22/01/2011,1:15:00,100,100,100,100
22/01/2011,1:30:00,100,100,100,100
22/01/2011,1:45:00,100,100,100,100
22/01/2011,2:00:00,100,100,100,100
22/01/2011,2:15:00,100,100,100,100
22/01/2011,2:30:00,100,100,100,100
22/01/2011,2:45:00,100,100,100,100
22/01/2011,3:00:00,100,100,100,100
22/01/2011,3:15:00,100,100,100,100
22/01/2011,3:30:00,100,100,100,100
22/01/2011,3:45:00,100,100,100,100
22/01/2011,4:00:00,100,100,100,100
22/01/2011,4:15:00,100,100,100,100
22/01/2011,4:30:00,100,100,100,100
22/01/2011,4:45:00,100,100,100,100
22/01/2011,5:00:00,100,100,100,100
22/01/2011,5:15:00,100,100,100,93
22/01/2011,5:30:00,93,93,99,96
22/01/2011,5:45:00,96,91,99,97
22/01/2011,6:00:00,66,72,65,70
22/01/2011,6:15:00,73,56,77,65
22/01/2011,6:30:00,71,73,78,63
22/01/2011,6:45:00,75,65,61,77
22/01/2011,7:00:00,74,57,68,65
22/01/2011,7:15:00,70,75,62,68
22/01/2011,7:30:00,77,77,81,76
22/01/2011,7:45:00,63,77,60,76
22/01/2011,8:00:00,61,67,77,59
22/01/2011,8:15:00,62,66,61,58
