Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. globulus,17/01/2011,1,Amb,640,1018,Well watered,-0.70984573,0.10540658,646.8477211,0.478222537,0.478818625,6,0,1.420000017,16.95668793,18.10858536,16.03037262,639.5488892,640.3568115,15.10989285,16.05179787,77.98810577,82.84965515,299.7411804,-0.014357594
E. globulus,17/01/2011,1,Amb,640,1023,Well watered,-0.755776361,0.077970055,647.5432346,0.625509161,0.833131303,6,0,1.420000017,16.94583702,18.00218391,16.02887726,639.2451172,639.956604,11.13549423,12.37195873,57.51912689,63.90594482,299.7758789,0.035956331
E. globulus,17/01/2011,1,Amb,640,1023,Well watered,-0.765171823,0.077921937,647.7863157,0.62516305,0.833154346,6,0,1.420000017,16.9459362,18.00229454,16.02943993,639.2595825,639.9902954,11.13610744,12.37192154,57.52170563,63.90510178,299.7677002,0.024137273
E. globulus,17/01/2011,1,Amb,640,1023,Well watered,-0.76120614,0.077890962,647.6761542,0.624967579,0.83322065,6,0,1.420000017,16.94621468,18.00275421,16.03023529,639.2357178,639.9588013,11.13620758,12.37166691,57.5220871,63.90363312,299.7601013,0.015605915
E. globulus,17/01/2011,1,Amb,640,1023,Well watered,-0.76120614,0.077890962,647.6761542,0.624967579,0.83322065,6,0,1.420000017,16.94621468,18.00275421,16.03023529,639.2357178,639.9588013,11.13620758,12.37166691,57.5220871,63.90363312,299.7601013,0.015605915
E. globulus,17/01/2011,1,Amb,640,1023,Well watered,-0.73950445,0.077919873,647.1980793,0.625058857,0.833047702,6,0,1.420000017,16.94642448,18.00194931,16.03050995,639.2684326,639.947998,11.13669014,12.37237167,57.52370453,63.90629959,299.7497559,0.014981613
E. globulus,17/01/2011,1,Amb,640,1024,Sustained drought,-0.590403191,0.005599777,802.9329751,0.038136228,0.672625581,6,0,1.420000017,16.93724823,18.07397461,16.0330143,640.4337769,641.5665894,13.99058914,14.06585121,72.32248688,72.71154785,299.7510681,0.004993893
E. globulus,17/01/2011,1,Amb,640,1024,Sustained drought,-0.601348699,0.005590097,806.3789265,0.03806923,0.672588083,6,0,1.420000017,16.93732643,18.07473755,16.03364944,640.440918,641.5957642,13.99236012,14.06749249,72.32989502,72.71827698,299.740509,0.009363536
E. globulus,17/01/2011,1,Amb,640,1024,Sustained drought,-0.593647121,0.005482304,807.4908412,0.037343754,0.672695639,6,0,1.420000017,16.93743896,18.07500839,16.03440666,640.4455566,641.5859375,13.9930048,14.06670666,72.33304596,72.7140274,299.7355957,0.031836119
E. globulus,17/01/2011,1,Amb,640,1024,Sustained drought,-0.598187153,0.005500101,808.2449753,0.037466147,0.672729991,6,0,1.420000017,16.93791962,18.07578087,16.03497314,640.4306641,641.5800171,13.99331093,14.06725693,72.33302307,72.71525574,299.7249451,0.04119993
