Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,CiCa
E. globulus,2011/01/17,1,Elv,400,1007,Rewatered  drought,9.54975321,0.16468113,273.8137861,3.43986651,2.237738158,6,0,,32.02502823,32.00609207,32.0764122,401.0076294,387.967041,21.46150208,25.4778347,44.72628021,53.09641266,500.7891235,2000.18689,0.705765586
E. globulus,2011/01/17,1,Elv,400,1008,Well watered,8.466335943,0.164932572,285.2289243,3.341662718,2.175416278,6,0,,32.5933342,31.97985649,32.10021973,399.2145691,387.5172729,22.07314873,25.97357178,44.64842224,52.53799057,500.6945801,1999.092163,0.736041834
E. globulus,2011/01/17,1,Elv,400,1008,Well watered,8.846623552,0.166956777,282.18919,3.370973201,2.170629261,6,0,,32.60211945,31.9769249,32.10024261,399.5710754,387.408905,22.08033371,26.01350975,44.64095688,52.59286118,500.8597107,1998.67041,0.728401403
E. globulus,2011/01/17,1,Elv,400,1008,Well watered,8.894786126,0.170450825,283.3872021,3.427950868,2.166773679,6,0,,32.60684586,31.97702789,32.10043716,399.6106262,387.3638,22.0528183,26.05254364,44.57318878,52.65744019,500.8309937,1998.324097,0.73157895
E. globulus,2011/01/17,1,Elv,400,1008,Well watered,9.157988134,0.172565485,281.6660851,3.45870323,2.162253026,6,0,,32.61001968,31.9753952,32.10022354,399.8303223,387.2547607,22.05806923,26.09337807,44.57586288,52.73057938,500.8470154,1998.362061,0.727340536
E. globulus,2011/01/17,1,Elv,400,1008,Well watered,9.100419058,0.17333235,282.5926277,3.469628489,2.160518631,6,0,,32.61164474,31.97594833,32.10046005,399.7362366,387.2243347,22.06396675,26.11206245,44.58398819,52.76385498,500.832428,1998.779419,0.729790466
E. globulus,2011/01/17,1,Elv,400,1012,Well watered,5.931622107,0.096535552,272.1827887,2.775085201,2.939332697,6,0,,32.37108612,34.30767441,32.0513382,400.8024597,392.3905945,21.79236603,25.03417587,44.55907059,51.1876297,500.7597656,2000.619751,0.693652683
E. globulus,2011/01/17,1,Elv,400,1012,Well watered,5.600223726,0.09646226,277.9008886,2.770273728,2.936500711,6,0,,32.36720657,34.29319382,32.05183792,400.5045776,392.4918518,21.78177071,25.01795769,44.54841232,51.16711044,500.7684326,2000.094116,0.70804244
E. globulus,2011/01/17,1,Elv,400,1012,Well watered,5.503905371,0.095434479,278.6284607,2.744082012,2.938026138,6,0,,32.36346817,34.29301834,32.0528717,400.4263306,392.5411682,21.79705429,25.00269318,44.5880661,51.14551926,500.7686768,2000.233887,0.709806979
E. globulus,2011/01/17,1,Elv,400,1012,Well watered,5.474636597,0.095068689,278.829911,2.73388865,2.937710941,6,0,,32.3612442,34.28889084,32.05317688,400.4265137,392.5812378,21.79954529,24.99324417,44.59893036,51.13280869,500.7785645,2000.357788,0.710247674
E. globulus,2011/01/17,1,Elv,400,1012,Well watered,5.442004598,0.094740813,279.0437123,2.72502186,2.937690721,6,0,,32.35877609,34.28553391,32.05308533,400.3375244,392.5357361,21.80010033,24.98344421,44.6059761,51.11952972,500.7831116,2000.515625,0.710874671
E. globulus,2011/01/17,1,Amb,640,1013,Rewatered  drought,17.21523889,0.450457129,520.9405785,6.531078509,1.835028156,6,0,1.420000017,28.49803162,30.3029213,28.08099365,640.9367676,615.4586792,17.48708344,25.12633705,44.54193878,64.00014496,500.0731812,1998.596924,0.846426569
E. globulus,2011/01/17,1,Amb,640,1013,Rewatered  drought,17.23311527,0.449959009,520.7670116,6.53441992,1.837477512,6,0,1.420000017,28.49934578,30.30989456,28.08097839,640.9547729,615.4541626,17.47662735,25.11943626,44.51137543,63.97691345,500.099823,1998.545288,0.846150767
E. globulus,2011/01/17,1,Amb,640,1013,Rewatered  drought,17.31440946,0.449161599,520.2002244,6.535146225,1.840199985,6,0,1.420000017,28.49958038,30.31834412,28.08057213,640.9779053,615.3800049,17.46880722,25.11246109,44.49213791,63.96012115,500.1036987,1998.539551,0.845331698
E. globulus,2011/01/17,1,Amb,640,1013,Rewatered  drought,17.29083107,0.448715672,520.2163384,6.534392372,1.841389818,6,0,1.420000017,28.50008392,30.32090187,28.08073425,640.9309082,615.3617554,17.46382523,25.10671425,44.47846603,63.94407654,500.098999,1998.855957,0.845382954
E. globulus,2011/01/17,1,Amb,640,1013,Rewatered  drought,17.238634,0.448266721,520.397062,6.532584321,1.842299759,6,0,1.420000017,28.50063705,30.32220268,28.08070374,640.8845825,615.3790894,17.45973969,25.10061073,44.46700287,63.9270134,500.0957947,1999.215088,0.84565282
E. globulus,2011/01/17,1,Amb,640,1014,Rewatered  drought,20.89098365,0.839518166,535.2321522,8.510115157,1.547136851,6,0,1.420000017,28.54876709,30.26696205,28.07186699,640.4649048,609.1814575,18.01429558,27.93896675,45.7350769,70.93204498,500.1083374,2000.245117,0.878608739
E. globulus,2011/01/17,1,Amb,640,1014,Rewatered  drought,20.83895664,0.839132455,535.3876326,8.508033772,1.547193604,6,0,1.420000017,28.54802322,30.2647934,28.07188797,640.427124,609.2089233,18.01155472,27.93335152,45.72950363,70.9199295,500.1337585,2000.255615,0.878824344
E. globulus,2011/01/17,1,Amb,640,1014,Rewatered  drought,20.78147485,0.837186513,535.4788198,8.505915782,1.549004492,6,0,1.420000017,28.54635429,30.26774597,28.07151413,640.3925171,609.2468262,18.00500107,27.923666,45.71539307,70.8992691,500.1721191,2000.313599,0.878919342
E. globulus,2011/01/17,1,Amb,640,1014,Rewatered  drought,20.78811261,0.835361889,535.4017622,8.503672685,1.550684448,6,0,1.420000017,28.54547691,30.27104378,28.07164764,640.4417114,609.2918701,18.00039864,27.91569138,45.70490265,70.88087463,500.214386,2000.341675,0.878727894
E. globulus,2011/01/17,1,Amb,640,1014,Rewatered  drought,20.89072352,0.835112619,535.0659743,8.503185635,1.550905112,6,0,1.420000017,28.54473305,30.26953506,28.07210541,640.5326538,609.2610474,17.99494934,27.90953255,45.69333267,70.86875153,500.2247009,2000.420532,0.87822121
E. globulus,2011/01/17,1,Amb,640,1016,Sustained drought,5.052905004,0.02422057,273.1426941,0.725637937,2.919446633,6,0,1.420000017,28.89107895,33.02120209,28.08574486,640.4805908,633.8666992,20.66183853,21.51367188,51.39507294,53.51395798,500.1166992,1998.908569,0.43091504
E. globulus,2011/01/17,1,Amb,640,1016,Sustained drought,5.042849768,0.024265895,274.4294476,0.727475442,2.921456187,6,0,1.420000017,28.89460754,33.02851868,28.08634567,640.5076904,633.9046631,20.66024017,21.51420021,51.38101578,53.50476837,500.1342163,1999.1427,0.432919118
E. globulus,2011/01/17,1,Amb,640,1016,Sustained drought,5.040489362,0.024375138,276.0102675,0.730662642,2.921268071,6,0,1.420000017,28.89713097,33.02968979,28.08686066,640.4769897,633.8745728,20.66208649,21.51976013,51.37733841,53.50998306,500.1475525,1999.075806,0.435433569
E. globulus,2011/01/17,1,Amb,640,1016,Sustained drought,5.032186795,0.024410624,277.0043369,0.731511511,2.920406502,6,0,1.420000017,28.89858627,33.02766418,28.08674812,640.4463501,633.8530884,20.66451263,21.5232029,51.37768555,53.51262283,500.1340332,1999.053467,0.437016624
