Species,Date,Day,Temp,CO2,Potnum,Water,Height,Basaldia1,Basaldia2,Leafnum,Branchnum,Comments
E. globulus,27/02/2011,43,Amb,400,1107,Sustained drought,45.3,5.46,5.68,,,
E. globulus,27/02/2011,43,Amb,400,1058,Sustained drought,43.5,5.42,5.08,,,
E. globulus,27/02/2011,43,Amb,640,1144,Sustained drought,45.9,6.21,6.21,,,
E. globulus,27/02/2011,43,Amb,640,1024,Sustained drought,45.9,5.43,5.36,,,
E. globulus,27/02/2011,43,Elv,640,1070,Well watered,70,10.19,10.5,,,
E. globulus,27/02/2011,43,Elv,640,1090,Well watered,60.5,9.98,10.14,,,
E. globulus,27/02/2011,43,Elv,400,1034,Well watered,80,10.5,11.5,,,
E. globulus,27/02/2011,43,Elv,400,1012,Well watered,81.5,10.89,11.01,,,
E. globulus,27/02/2011,43,Amb,400,1106,Well watered,80.5,10.49,9.7,,,
E. globulus,27/02/2011,43,Amb,400,1081,Well watered,62,9.62,9.33,,,
E. globulus,27/02/2011,43,Amb,640,1142,Well watered,58,10.27,10.47,,,
E. globulus,27/02/2011,43,Amb,640,1114,Well watered,61.5,10.13,9.92,,,
E. globulus,21/03/2011,62,Elv,640,1048,Rewatered drought,55.5,6.87,7.04,,,
E. globulus,21/03/2011,62,Elv,400,1005,Rewatered drought,55,6.98,6.95,,,broken in main stem
E. globulus,21/03/2011,62,Amb,400,1077,Rewatered drought,56.1,6.76,6.67,,,
E. globulus,21/03/2011,62,Amb,640,1013,Rewatered drought,58,6.56,6.59,,,
E. globulus,21/03/2011,62,Elv,640,1047,Sustained drought,42.5,6.57,6.36,,,
E. globulus,21/03/2011,62,Elv,400,1003,Sustained drought,48.5,5.62,5.81,,,
E. globulus,21/03/2011,62,Amb,400,1058,Sustained drought,44,4.98,5.06,,,
E. globulus,21/03/2011,62,Amb,640,1024,Sustained drought,46,5.2,5.16,,,
E. globulus,21/03/2011,62,Elv,640,1090,Well watered,63,10.72,10.49,,,
E. globulus,21/03/2011,62,Elv,400,1034,Well watered,86.5,11.91,11.07,,,
E. globulus,21/03/2011,62,Amb,400,1106,Well watered,87.5,10.95,10.75,,,
E. globulus,21/03/2011,62,Amb,640,1114,Well watered,64.3,10.4,11.02,,,
