Species,Date,Day,Temp,CO2,Water,Organ,StarchW,SolSugW
E. globulus,1/02/11,17,Elv,640,Rewatered  drought,Leaf,62.330357,113.475667
E. globulus,1/02/11,17,Elv,400,Rewatered  drought,Leaf,7.84186,95.462641
E. globulus,1/02/11,17,Elv,640,Rewatered  drought,Root,3.066372,37.224841
E. globulus,1/02/11,17,Elv,400,Rewatered  drought,Root,2.425532,36.652621
E. globulus,1/02/11,17,Elv,640,Rewatered  drought,Stem,1.740566,42.557776
E. globulus,1/02/11,17,Elv,400,Rewatered  drought,Stem,2.513889,45.949788
E. globulus,1/02/11,17,Amb,640,Sustained drought,Leaf,36.85514,119.286191
E. globulus,1/02/11,17,Amb,400,Sustained drought,Leaf,7.323944,54.762423
E. globulus,1/02/11,17,Amb,640,Sustained drought,Root,6.066667,43.526573
E. globulus,1/02/11,17,Amb,400,Sustained drought,Root,3.027273,26.260956
E. globulus,1/02/11,17,Amb,640,Sustained drought,Stem,3.043269,55.209376
E. globulus,1/02/11,17,Amb,400,Sustained drought,Stem,3.053571,45.441947
E. globulus,1/02/11,17,Elv,640,Sustained drought,Leaf,5.478261,88.850027
E. globulus,1/02/11,17,Elv,400,Sustained drought,Leaf,4.995146,86.239203
E. globulus,1/02/11,17,Elv,640,Sustained drought,Root,2.816594,32.134884
E. globulus,1/02/11,17,Elv,400,Sustained drought,Root,2.546939,27.27458
E. globulus,1/02/11,17,Elv,640,Sustained drought,Stem,2.420168,63.997136
E. globulus,1/02/11,17,Elv,400,Sustained drought,Stem,3.522822,50.249468
E. globulus,1/02/11,17,Amb,640,Well watered,Leaf,109.827907,78.597672
E. globulus,1/02/11,17,Amb,400,Well watered,Leaf,55.285714,90.318724
E. globulus,1/02/11,17,Amb,640,Well watered,Root,1.6875,23.404875
E. globulus,1/02/11,17,Amb,400,Well watered,Root,2.0625,19.381929
E. globulus,1/02/11,17,Amb,640,Well watered,Stem,2.445498,0
E. globulus,1/02/11,17,Amb,400,Well watered,Stem,2.71875,31.594752
E. globulus,1/02/11,17,Elv,640,Well watered,Leaf,80.323944,97.732908
E. globulus,1/02/11,17,Elv,400,Well watered,Leaf,95.209091,101.476864
E. globulus,1/02/11,17,Elv,640,Well watered,Root,1.712329,25.131545
E. globulus,1/02/11,17,Elv,400,Well watered,Root,2.239024,31.993824
E. globulus,1/02/11,17,Elv,640,Well watered,Stem,1.820961,33.687691
E. globulus,1/02/11,17,Elv,400,Well watered,Stem,2.889796,47.750342
E. globulus,17/02/11,33,Amb,640,Rewatered  drought,Leaf,75.548077,140.046826
E. globulus,17/02/11,33,Amb,400,Rewatered  drought,Leaf,47.071429,130.295173
E. globulus,17/02/11,33,Amb,640,Rewatered  drought,Root,1.977273,50.398574
E. globulus,17/02/11,33,Amb,400,Rewatered  drought,Root,1.004464,39.9143
E. globulus,17/02/11,33,Amb,640,Rewatered  drought,Stem,1.258065,59.542565
E. globulus,17/02/11,33,Amb,400,Rewatered  drought,Stem,1.666667,54.732545
E. globulus,17/02/11,33,Elv,640,Rewatered  drought,Leaf,31.492683,129.654148
E. globulus,17/02/11,33,Elv,400,Rewatered  drought,Leaf,5.887324,129.204539
E. globulus,17/02/11,33,Elv,640,Rewatered  drought,Root,2.759434,44.071751
E. globulus,17/02/11,33,Elv,400,Rewatered  drought,Root,0.893333,80.937567
E. globulus,17/02/11,33,Elv,640,Rewatered  drought,Stem,1.60181,66.660211
E. globulus,17/02/11,33,Elv,400,Rewatered  drought,Stem,1.036364,51.367495
E. globulus,17/02/11,33,Amb,640,Sustained drought,Leaf,11.283784,130.884198
E. globulus,17/02/11,33,Amb,400,Sustained drought,Leaf,3.2287,125.326901
E. globulus,17/02/11,33,Amb,640,Sustained drought,Root,2.004425,53.645976
E. globulus,17/02/11,33,Amb,400,Sustained drought,Root,2.897561,54.293311
E. globulus,17/02/11,33,Amb,640,Sustained drought,Stem,1.72,69.259494
E. globulus,17/02/11,33,Amb,400,Sustained drought,Stem,1.088372,58.678037
E. globulus,17/02/11,33,Elv,640,Sustained drought,Leaf,3.695652,123.498484
E. globulus,17/02/11,33,Elv,400,Sustained drought,Leaf,3.367925,118.727544
E. globulus,17/02/11,33,Elv,640,Sustained drought,Root,1.237864,41.673011
E. globulus,17/02/11,33,Elv,400,Sustained drought,Root,1.518987,28.52038
E. globulus,17/02/11,33,Elv,640,Sustained drought,Stem,1.294118,48.838068
E. globulus,17/02/11,33,Elv,400,Sustained drought,Stem,1.392857,46.980787
E. globulus,17/02/11,33,Amb,640,Well watered,Leaf,65.19685,71.545958
E. globulus,17/02/11,33,Amb,400,Well watered,Leaf,139.807692,84.252461
E. globulus,17/02/11,33,Amb,640,Well watered,Root,0.914163,28.596805
E. globulus,17/02/11,33,Amb,400,Well watered,Root,1.184549,23.951811
E. globulus,17/02/11,33,Amb,640,Well watered,Stem,0.923077,30.357379
E. globulus,17/02/11,33,Amb,400,Well watered,Stem,2.325359,60.252747
E. globulus,17/02/11,33,Elv,640,Well watered,Leaf,95.287129,81.997526
E. globulus,17/02/11,33,Elv,400,Well watered,Leaf,104.73399,77.33409
E. globulus,17/02/11,33,Elv,640,Well watered,Root,0.780822,19.065344
